,City,Country,Date,Longitude,Latitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
1,Atuona,PF,1547429948,-139.03,-9.8,81.28,100.0,100.0,14.7
2,Chuy,UY,1547429804,-53.46,-33.69,71.38,98.0,92.0,10.89
3,Nanortalik,GL,1547429806,-45.24,60.14,28.54,96.0,80.0,23.35
4,Kargasok,RU,1547429982,80.87,59.06,15.31,71.0,80.0,8.37
5,Shimoda,JP,1547427600,138.93,34.7,46.4,100.0,40.0,14.99
6,Pevek,RU,1547429982,170.27,69.7,-31.67,55.0,0.0,1.99
7,Rikitea,PF,1547429950,-134.97,-23.12,80.2,97.0,88.0,12.46
8,Hasaki,JP,1547427600,140.83,35.73,46.4,52.0,20.0,10.29
9,Nyanguge,TZ,1547424000,33.2,-2.54,73.4,69.0,40.0,8.05
10,Albany,US,1547428620,-73.75,42.65,14.0,60.0,20.0,8.05
